code,ticker,codesource,name,market,category,cur,country,continent,date,short_name,coverage,benchmark,performance,month_history,updated,industry,sector
STKVNKSB,KSB,,BINH DUONG MINERAL,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,BINH DUONG MINERAL,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,BASIC RESOURCES,BASIC MATERIALS
STKVNKSD,KSD,,DNA INVESTEMENT,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,DNA INVESTEMENT,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,TOBACCO,CONSUMER GOODS
STKVNKSF,KSF,,KSFINANCE GROUP,HNX,LARGE,VND,VIETNAM,ASIA,2024-10-01,KSFINANCE GROUP,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,REAL ESTATE,FINANCIALS
STKVNKSQ,KSQ,,KSQ INVESTMENT,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,KSQ INVESTMENT,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,BASIC RESOURCES,BASIC MATERIALS
STKVNKST,KST,,KASATI,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,KASATI,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,TECHNOLOGY,TECHNOLOGY
STKVNKSV,KSV,,VINACOMIN - MINERALS HOLDING,HNX,LARGE,VND,VIETNAM,ASIA,2024-10-01,VINACOMIN - MINERALS HOLDING,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,BASIC RESOURCES,BASIC MATERIALS
STKVNKTS,KTS,,KON TUM SUGAR,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,KON TUM SUGAR,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,FOOD & BEVERAGE,CONSUMER GOODS
STKVNKTT,KTT,,THIEN TRUONG ELECTRIC,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,THIEN TRUONG ELECTRIC,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNL10,L10,,LILAMA 10,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LILAMA 10,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNL14,L14,,LICOGI 14,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LICOGI 14,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNL18,L18,,LICOGI 18,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LICOGI 18,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNL40,L40,,40 INVESTMENT AND CONSTRUCTION,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,40 INVESTMENT AND CONSTRUCTION,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNL43,L43,,LILAMA 43,UPC,SMALL,VND,VIETNAM,ASIA,2024-10-01,LILAMA 43,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNL62,L62,,LILAMA 62,UPC,SMALL,VND,VIETNAM,ASIA,2024-10-01,LILAMA 62,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,INDUSTRIAL GOODS & SERVICES,INDUSTRIALS
STKVNLAF,LAF,,LONG AN FOOD PROCESSING,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LONG AN FOOD PROCESSING,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,FOOD & BEVERAGE,CONSUMER GOODS
STKVNLAS,LAS,,LAM THAO FERTILIZERS,HNX,MID,VND,VIETNAM,ASIA,2024-10-01,LAM THAO FERTILIZERS,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CHEMICALS,BASIC MATERIALS
STKVNLBE,LBE,,LONG AN BOOKS AND SCHOOL EQUIPMENTS,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LONG AN BOOKS AND SCHOOL EQUIPMENTS,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,MEDIA,CONSUMER SERVICES
STKVNLBM,LBM,,LAM DONG MINERALS,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LAM DONG MINERALS,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNLCD,LCD,,ERECTION - ELECTROMECHANICS TESTING,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,ERECTION - ELECTROMECHANICS TESTING,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,INDUSTRIAL GOODS & SERVICES,INDUSTRIALS
STKVNLCG,LCG,,LICOGI 16,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LICOGI 16,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNLDG,LDG,,LDG INVESTMENT,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LDG INVESTMENT,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,REAL ESTATE,FINANCIALS
STKVNLDP,LDP,,LAM DONG PHARMACEUTICAL,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LAM DONG PHARMACEUTICAL,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,HEALTH CARE,HEALTH CARE
STKVNLEC,LEC,,CENTRAL POWER REAL ESTATE,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,CENTRAL POWER REAL ESTATE,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,REAL ESTATE,FINANCIALS
STKVNLGC,LGC,,CII BRIDGES AND ROADS,HSX,LARGE,VND,VIETNAM,ASIA,2024-10-01,CII BRIDGES AND ROADS,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNLGL,LGL,,LONG GIANG INVESTMENT,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LONG GIANG INVESTMENT,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,REAL ESTATE,FINANCIALS
STKVNLHC,LHC,,LAM DONG CONSTRUCTION,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LAM DONG CONSTRUCTION,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNLHG,LHG,,LONG HAU,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LONG HAU,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,REAL ESTATE,FINANCIALS
STKVNLIG,LIG,,LICOGI 13,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LICOGI 13,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNLIX,LIX,,LIX DETERGENT,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LIX DETERGENT,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,TOBACCO,CONSUMER GOODS
STKVNLM8,LM8,,LILAMA 18,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LILAMA 18,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,CONSTRUCTION & MATERIALS,INDUSTRIALS
STKVNLPB,LPB,,LIENVIET POST BANK,HSX,LARGE,VND,VIETNAM,ASIA,2024-10-01,LIENVIET POST BANK,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,BANKS,FINANCIALS
STKVNLSS,LSS,,LAM SON SUGAR,HSX,SMALL,VND,VIETNAM,ASIA,2024-10-01,LAM SON SUGAR,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,FOOD & BEVERAGE,CONSUMER GOODS
STKVNMAC,MAC,,MASERCO,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,MASERCO,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,INDUSTRIAL GOODS & SERVICES,INDUSTRIALS
STKVNMAS,MAS,,DANANG AIRPORT SERVICES,HNX,SMALL,VND,VIETNAM,ASIA,2024-10-01,DANANG AIRPORT SERVICES,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,TRAVEL & LEISURE,CONSUMER SERVICES
STKVNMBB,MBB,,MBBANK,HSX,LARGE,VND,VIETNAM,ASIA,2024-10-01,MBBANK,VIETNAM,VNI,2024-10-02,2024-10-02,2024-10-02 11:30:33,BANKS,FINANCIALS
